GWNum;Messstelle;Ca;Cl;DOC;LF_mS_m;K;Mg;Na;NO3;pH;SO4;SiO2;U;PSM;Rechtswert;Hochwert;Aquifer_kz;Aquifer;Aquifer2;landuse;landuse_num
3/311-7;TB I Ober Bruch, Ellmendingen;52.6;9.1;0.2;36.9;1.4;21;2.8;14;7.36;9.5;7.7;0.0005;0.00003;3467625;5418040;83;(TIEF) BUNTSANDSTEIN;Lower Triassic;agr;1
3/316-0;SBR Firma Chrom-MÅller, Oberndorf;128;40.7;0.7;81.6;3.66;28.4;26.5;24.4;7;63.6;8.6;0.001;0.00004;3468420;5352040;72;MUSCHELKALK;Middle Triassic;no_agr;0
3/317-3;SBR Firma Heckler + Koch, Oberndorf am Neckar;133;68.4;1.2;90.1;6.12;29.7;36.8;23.2;7.27;168;9.1;0.0016;0;3468650;5350830;72;MUSCHELKALK;Middle Triassic;no_agr;0
3/318-6;QF Firma Mahle, Rottweil;118;245;4.5;134.7;9.77;37.4;126;16.6;7.65;65.1;6.2;0.0006;0;3473800;5335000;61;GIPSKEUPER (FUˇ DES KEUPERBERGLANDES);Gipskeuper;no_agr;0
3/319-9;TB Hilzinger, Villingen-Schwenningen;129;22.4;0.4;81.9;1.16;43;6.7;24.5;7.34;165;15.7;0.0021;0;3464400;5325380;72;MUSCHELKALK;Middle Triassic;no_agr;0
3/361-5;GWM SWP 03-2B, STW-Pforzheim;80;38;0;0;2.5;27;10;24;7.18;27;7.7;0.0025;0;3479513;5417274;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
3/372-1;QF Felsenquelle, Gailingen;78.1;4.1;0.4;47.2;0.6;27.1;2.2;18;7.4;24;9;0.0018;0;3483600;5284600;22;TERTI?R (ALBS?DRAND UND ALPENVORLAND);Tertiary AF/MB;no_agr;0
3/407-2;BR II WV, Hoffenheim;122;47.5;0.8;78.1;0.8;37.5;8.2;43.7;NA;53.8;11;0.0008;0.00003;3488410;5458500;72;MUSCHELKALK;Middle Triassic;agr;1
3/417-8;QF Banzhaf Zillhausen, Balingen;142;5.7;0.84;62.2;1.8;11.5;8;1.3;7.19;79;6.4;0.0006;0;3493750;5344948;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
3/421-5;GWM 1 Karstbohrung, Beuren a. d. Aach;0;4.7;0.32;47.8;3.36;0;0;1.8;7.12;0;10.1;0.0008;0;3489860;5296420;32;(TIEF) MALM (ALPENVORLAND);Upper Jurassic;agr;1
3/456-0;BR 1 Firma Zoder, Haˇmersheim;161;34.4;1.3;92.2;1.2;30.6;19.6;33.5;6.96;59.3;16.8;0.0007;0.00002;3510870;5462895;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
3/459-9;BBR Firma Riexinger, Hausen an der Zaber;110;24;0;66.7;2.4;47;8;37;7.21;19;11.6;0.0012;0;3507100;5438260;71;LETTENKEUPER;Lettenkeuper;no_agr;0
3/467-6;SBR Roller Tailfingen, Albstadt;144;221;1.1;107;6.9;4.6;93;24;7.13;33;5.2;0.00025;0.00001;3501550;5345540;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
3/471-3;QF Kreuzquelle, Hindelwangen;116;18;0.5;62;1.9;23.6;8.3;26;7.26;25;9.4;0.0024;0.00025;3501440;5303020;22;TERTI?R (ALBS?DRAND UND ALPENVORLAND);Tertiary AF/MB;agr;1
3/502-5;BBR I an der L2310, Freudenberg;36;19.3;2.51;25.8;3.2;8.8;10.9;7.2;7.18;20.9;12.8;0.0005;0;3522655;5511435;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
3/518-5;BR 2 Stetten, Veringenstadt;120;14;0.7;53;0.6;3.9;4.2;23;7.24;7.6;5.3;0.0005;0.00002;3515200;5337170;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;agr;1
3/519-8;QF Hipfelsbergquelle, Mengen;104;11.8;0.79;58.3;0.6;14.3;7.2;46.7;7.28;31.7;12;0.0006;0.00004;3522340;5324220;7;QUART?R MOR?NEN (ALPENVORLAND);Quaternary AF/MB;agr;1
3/522-2;QF Neubergquelle, Meersburg;128;1.8;0.63;67.5;0.6;22.7;3.2;5;7.06;31.5;10.2;0.0037;0;3520850;5286880;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;no_agr;0
3/556-4;QF Neuwiesenquelle, Jagsthausen;96;32;1.5;65.2;1.9;30;8;28;7.62;34;0;0.0005;0;3535620;5464210;71;LETTENKEUPER;Lettenkeuper;agr;1
3/561-4;QS I Baumannsquelle, Waiblingen;153;7.2;0.26;84.9;1.8;35;7.2;10.5;7.15;181;9.4;0.0067;0;3529200;5411070;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
3/567-0;QF Aachursprung Wimsen, Hayingen;119;16;0.6;57;0.97;8.7;6;26.6;7.26;12.3;5.3;0.00025;0.00017;3533390;5346630;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
3/569-6;TB 1 Thermalwasser Saulgau, Bad Saulgau;58;2.1;0.3;45;2;27;11;0.5;7.1;12;17;0.0005;0;3535720;5319520;32;(TIEF) MALM (ALPENVORLAND);Upper Jurassic;agr;1
3/571-8;QF 1 Illmensee, Illwangen;92;12;0.6;50;0.6;14;3.6;31;7.31;13;6.4;0.0007;0.00001;3528920;5300000;7;QUART?R MOR?NEN (ALPENVORLAND);Quaternary AF/MB;no_agr;0
3/572-0;GWM 2 Wittenhofen,  Deggenhausertal;107;13.3;0.73;61.4;2;20.7;6.3;18.5;7.05;21.7;9.2;0.0018;0.00004;3529573;5293690;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
3/606-0;SBR Firma GEM?, Criesbach;132;40;1.36;89.6;9.9;20;59;29;7.2;110;12;0.0023;0;3546270;5463080;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
3/607-3;SBR Firma Kriwan, Forchtenberg;74;7.7;4.9;47.7;2;10;6.8;0.5;7.28;53;8.5;0.00025;0;3541210;5461780;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
3/608-6;QF 3 Im Teich, Rechter Zulauf,  Mainhardt;79;20;0.6;62.7;0.8;44;6.8;27;7.13;19;12;0.0063;0.0001;3541390;5440426;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;agr;1
3/609-9;QF II Altenbachquelle, Oberrot;55.2;2.8;0.26;40.6;0.74;25.6;3.3;13.2;7.56;14.1;10.3;0.0092;0;3548280;5432920;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
3/621-4;GWM 2/88 Atzenhofen, Berg;130;10;0.5;67.6;0.7;24;5.3;26;7.13;27;10.4;0.0025;0.00028;3542475;5299525;22;TERTI?R (ALBS?DRAND UND ALPENVORLAND);Tertiary AF/MB;no_agr;0
3/623-0;QF 1-QF 7 Argenhardtquelle, Tettnang;92;2;0.71;48.2;0.6;17;3.2;15.6;7.32;13;10.5;0.0006;0;3545590;5279040;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
3/624-2;SBR Montfortstraˇe 55, Kressbronn am Bodensee;109;38;0.6;65.5;2.2;14;23;26;7.25;21;7.3;0.0008;0.00043;3544280;5273330;97;NOCH NICHT BEARBEITET;multiple or undifferentiated;no_agr;0
3/657-1;SBR Firma Mustang, KÅnzelsau;191;215;0.32;142.5;11.6;23.4;88;17.2;7.15;150;12;0.00025;0;3550100;5460640;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
3/707-8;BBR 1 HerrenmÅhle, B?chlingen;124;38;1.1;80.4;5.4;25;18;23;7.19;122;6.5;0.0006;0;3561690;5457280;72;MUSCHELKALK;Middle Triassic;agr;1
3/709-3;QF Untere Haldenquelle, BÅhlertann;77;27;0.7;63.7;1.3;42;4.1;40;7.18;20;7.4;0.0009;0.00025;3568708;5433027;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
3/719-7;GWM 3/88 Rottum, Steinhausen an der Rottum;91;16;0.51;49.6;0.5;13;7.6;55;7.4;15;11.1;0.00025;0.00003;3568560;5321600;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
3/764-1;GWM B 7301 LW, Langenau;131.4;29.4;0.77;60.6;1;8;4.6;34.4;7.12;10.6;5.5;0.0005;0.00018;3584528;5375111;32;(TIEF) MALM (ALPENVORLAND);Upper Jurassic;agr;1
3/766-7;SBR G?ssle Unterkirchberg, Illerkirchberg;118.9;35.8;2;84.7;19.7;14.8;23.9;37.4;6.88;60.3;13.6;0.0006;0;3574500;5356245;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
3/863-3;QF Bruchbrunnenquelle, Egauwasserwerk, Dischingen;114.8;16.8;0.7;57.1;1.2;10.1;4.3;30.6;7.24;13;7;0.00025;0.00058;3600517;5394540;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
30/218-4;QF Waldparkquelle, St. Georgen;15.9;48.2;0.9;22.1;3.07;3.2;22.7;7.4;5.41;12.8;6.3;0.00025;0;3449800;5332730;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
30/305-8;BR N14 Julius-KÅhn-Institut, Dossenheim;133;59.6;0.53;80.7;4.45;20.8;30.9;24.4;7.22;115;7.8;0.0006;0;3474040;5479030;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
30/306-0;GWM E40 ZWK Kurpfalz, Schwetzingen;127;86.5;1.8;0;15.1;24;62.5;15.5;7.03;103;9.6;0.001;0;3468310;5472480;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
30/309-8;BR Sportplatz, BÅchenau;119;61.3;1.9;72;2.22;13.6;33.6;9.7;7.1;75.1;10.6;0.0007;0;3465900;5439750;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
30/315-0;QF I Arnistal-/ Vogelbrunnenquelle, Dettingen;100;8.3;0.4;59;0.9;24;1.8;32;7.32;45;6;0.00025;0.00004;3472125;5364300;72;MUSCHELKALK;Middle Triassic;no_agr;0
30/422-0;TB I Alu, Singen;113;44;1;67.2;2.2;21.1;25.9;10;7.22;47;11.3;0.0014;0.00065;3489680;5291390;10;(TIEF) QUART?R UNTERES KIESLAGER (SINGEN UND KONST);Quaternary AF/MB;no_agr;0
30/663-7;SBR I Firma Lasslop, Geislingen an der Steige;119;60.6;0.49;76;3.06;7.4;38.9;24.6;NA;33.2;6.5;0.00025;0;3559650;5386460;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
30/809-0;QF I Schmidt, Kressberg-Waldtann;73.6;18.8;0.65;62.1;1.69;42.1;4.4;78.5;7.39;32.3;7;0.001;0.0004;3586220;5440610;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;agr;1
30/811-2;SBR I Eulenberg, Westhausen;144;32.3;0;67.3;1.94;8.5;14.2;12.8;7.18;64.6;6.3;0.0005;0.0003;3588170;5416970;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
30/861-0;QF, Dirgenheim;146.4;39.5;0.96;71.4;4.51;6.3;13;55.7;7.12;38.7;8.6;0.0006;0.00008;3602420;5417760;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;agr;1
300/260-3;BR NB 38 Main/Feldbergstraˇe, KA-Weiherfeld;124;25.6;1.4;69;8.9;12.8;15.8;28.5;7.08;83.5;13.5;0.0007;0.00003;3455650;5427650;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
3000/463-3;QF Wolfenbrunnen, Waldenbuch;103.1;39.5;0.74;56.1;0.95;8.9;6.3;74.1;7.6;38.4;5.4;0.00025;0;3510150;5389940;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
301/073-1;TB Steinen H?llstein, Steinen;16.1;6.7;0.4;11.4;1.2;2.4;5.4;4.7;6.46;6.5;9.7;0.00025;0;3406519;5279190;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
302/119-6;TB 1498, V?rstetten;78.3;23.1;0.38;51;1.08;12.3;11.1;69.7;6.53;57.2;19.2;0.0005;0.00012;3413270;5326620;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
302/260-4;BR 40 Frauenalberstraˇe, KA-RÅppurr;156;45.9;0.81;85.7;2.39;20.7;22.7;35.1;6.99;58.4;12.8;0.0017;0.00025;3456425;5425630;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
303/119-1;TB NiederbÅhl, V?rstetten;79.6;21.3;0.36;49.6;1.21;12.8;11.2;43.4;6.52;40.1;20.8;0.0005;0.00013;3413550;5326230;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
303/561-6;TB Schwaikheimerstraˇe, Winnenden;124;112.7;0;105.2;2.2;44;68;15.3;7;138;10.5;0.0009;0;3527950;5416020;71;LETTENKEUPER;Lettenkeuper;agr;1
304/119-7;TB Gewann Wannenacker, V?rstetten;141;24.1;0.46;79.4;1.03;20;9.1;83;6.69;83.3;14.9;0.0023;0.00024;3414840;5325150;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
304/561-1;SBR 1 Seehalde, Winnenden;138;20.2;0;76.1;1.1;36;6.5;24.6;7.09;77.3;11.3;0.001;0;3530150;5415450;61;GIPSKEUPER (FUˇ DES KEUPERBERGLANDES);Gipskeuper;agr;1
305/814-0;GWM 6050 LW, Sontheim an der Brenz;123;26;0.3;61.8;2.3;9.4;4.7;32;7.17;18;7.3;0.0005;0.00009;3594195;5379357;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
306/511-4;GWM 806 Ludwigsburger Straˇe, Stuttgart-Feuerbach;174.7;181;1.59;137.1;0.85;75.4;14.7;1;6.94;90.5;13.7;0.0013;0.0007;3512766;5409444;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
307/511-0;GWM 807 Ludwigsburger Straˇe, Stuttgart-Zuffenhausen;228.2;220;1.15;161.9;1.02;72.7;25.8;14.8;6.95;164;9.2;0.0023;0;3512729;5409604;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
31/124-8;TB Studenacker Wallbach, Bad S?ckingen;80.8;3.9;0.55;45.2;0.9;8.1;5.4;9;7.42;15.3;8.8;0.0005;0;3418785;5270915;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
31/211-1;HBR WW, BAD-Sandweier;90;24.9;1;50.3;1.6;6.4;12.6;0.1;7.3;33.8;11.9;0.00025;0.00002;3438990;5407750;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
31/223-0;TB K?nig Oberlauchringen, Lauchringen;98.9;19.7;0.61;52.2;2.55;24;9.9;20.2;7.4;71.6;6.6;0.0007;0.00002;3449805;5275515;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
31/459-6;QF II Waldquelle, Cleebronn;83.9;8.4;0.6;59.8;2.26;41.1;9.9;12.1;7.22;16.5;7.9;0.0048;0;3500735;5432835;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
31/460-5;TB I, Unterriexingen;123.6;37;0.68;71.1;2.49;28.2;14.2;37;7.26;76.8;8.3;0.0008;0.00003;3503655;5422125;72;MUSCHELKALK;Middle Triassic;no_agr;0
31/510-1;TB I Hohes Gestad, Beihingen;154;50.7;0.71;90.9;4.67;27.9;22.7;36.9;7.13;114;8.6;0.0009;0;3516114;5422913;73;(TIEF) OBERER MUSCHELKALK, MINERALISIERT;Middle Triassic;agr;1
31/558-8;BR I Altenhau, Obersulm;139.2;18.3;0.7;93.5;3.78;55;9.9;38.2;6.99;118;5.8;0.0012;0;3529330;5441680;61;GIPSKEUPER (FUˇ DES KEUPERBERGLANDES);Gipskeuper;agr;1
31/562-5;SBR Firma Scherrieble, Esslingen;180;240;2.1;182.5;16;33;160;0.5;7.23;290;9.4;0.0009;0;3526740;5397860;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
31/564-0;SBR Schwalbenstadt Dettingen, Dettingen an der Erms;104;19.2;0.6;46.4;1.25;3.5;12.6;13.1;7.23;14.9;5.2;0.0005;0;3526298;5375917;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
31/612-1;TB II FeldmÅhle, Ebersbach an der Fils;108;51.6;0.87;77.5;6.49;19.7;30.5;10.3;7.59;37.6;12.7;0.004;0;3539700;5397740;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
31/760-9;QF im Rot, Dalkingen;21.6;23.1;0;20.6;2.18;5.9;5.6;60.3;5.33;7.4;10.7;0.0005;0;3585140;5420550;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;agr;1
31/765-2;FB SSV-Anlage Friedrich, Ulm;99.7;22.3;2.8;49.1;2.5;12.7;11.9;11.2;7.35;21.6;5.6;0.0014;0;3575180;5363565;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
31/809-6;SBR Olgastraˇe, Fichtenau-Matzenbach;80.2;62.3;0;64.7;2.29;35.3;20.3;32.7;7.39;23.8;9.5;0.0008;0.00005;3587930;5436030;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
311/716-6;HBR II Rote Wand Wiblingen, Ulm;86.7;19.7;1.4;51.5;2;15;8.5;15.2;7.33;16.7;4;0.001;0;3572400;5359400;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
315/074-2;GWM B10 Rheinfelden, Rheinfelden (Baden);152;20.8;0.6;85;1.9;30.2;21.9;23.6;6.97;82;10.1;0.0016;0;3407133;5270010;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
316/066-0;TB 1 alt Firma INA-Nadellager, Lahr;131;53.1;1.5;71.2;2.5;19.2;15.2;3.1;7.1;55.4;15.6;0.002;0.0001;3413330;5357070;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
318/070-8;GWM PH 21 Hausen Mengen, Schallstadt;141;53.2;0.57;77.5;2.51;20.8;14.4;54.5;6.91;65.9;14.1;0.0026;0.00012;3402890;5314205;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
319/611-1;SBR Firma Schneider, PlÅderhausen;120;22.5;0;70.3;1.9;26;12.3;26.9;6.98;58.5;10.8;0.0022;0;3543450;5407210;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
32/307-8;BR 1 WW Hohberggruppe ?stringnen, Kronau;117;24.8;0.97;64.1;1.6;15.3;12.2;38.9;7.44;84.4;12.2;0.0012;0;3472188;5455070;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
32/365-0;GWM Bundesbahn, Horb am Neckar;160;33;2.8;86;1.7;29;20;0.5;7.11;71;9.7;0.0009;0.00028;3476075;5366426;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
32/461-3;GWM 954 Bludenzerstraˇe, Stuttgart-Feuerbach;245.5;200;1.62;163.8;2.35;63.2;34.9;53.8;NA;216;11.8;0.0022;0.00014;3512216;5408425;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
32/662-5;BR Firma Umicore, Schw?bisch GmÅnd;103;36.2;0.75;68.8;2.2;24;22.5;24.6;7.02;45.5;11;0.0016;0.00002;3559290;5406670;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
32/763-2;BBR III Firma Voith, Heidenheim;115;30;0.3;63;1.2;3.1;10;15;7.23;17;5.2;0.00025;0;3584960;5393455;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
322/765-3;GWM B 5183 LW Langenau, Langenau;143.4;37.6;1.4;67.8;5.6;9.7;9.1;34.2;7.04;19.6;6.7;0.0005;0.00009;3584252;5374081;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
323/765-9;GWM B 5184 LW Langenau, Langenau;150;43.4;1.1;70.7;3.9;10.3;10.4;43.4;7.05;22;6.5;0.0006;0.00008;3584348;5374107;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
324/114-6;GWM B5 H?genwald, Appenweier-Urlofffen;120.2;19.2;1.44;63.5;4.8;14;13.8;21.9;7.2;36.5;13.7;0.0007;0.00004;3423380;5382840;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
325/073-6;QF 1 Hornbergquelle HÅsingen, Steinen;5.9;2.3;0.4;5.6;1.8;1.6;1;8;5.57;9;9;0.00025;0;3407720;5280860;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
325/210-5;BR Wolfswiesenhof, Au am Rhein;123;18.7;0.46;64.3;1.1;12.7;8.1;8.8;7.06;48.6;9.4;0.0018;0;3445240;5424700;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
329/163-9;QF 7 Steinsod, Lauf;3.3;2.2;0.3;4.4;0.7;1.3;2.7;6.8;5.6;6.2;9.6;0.00025;0;3438420;5387330;91;KRISTALLIN (SCHWARZWALD);Crystalline Basement;no_agr;0
329/508-9;BR IV, Eberstadt;131.8;33;0.51;79.9;1.16;37.7;11.1;25.9;7.05;82.6;8.5;0.0009;0;3523025;5450100;61;GIPSKEUPER (FUˇ DES KEUPERBERGLANDES);Gipskeuper;agr;1
33/071-4;BBR NEU Schladerer Staufen, Staufen im Breisgau;45.9;11.2;0.54;30.7;2;6.6;9.7;7.7;6.92;16.9;12.4;0.00025;0;3405140;5305360;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
33/210-9;TB WW Rheinstetten, Forchheim;94;14.4;0.45;45.5;0.84;5.4;5.8;15.5;7.36;41.7;11.2;0.0012;0;3449430;5426024;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
33/310-3;QF Galgenbrunnenquelle, Stein;147;24.3;0.9;79.2;1.1;27.2;5;34;NA;125;10.2;0.0006;0.00007;3475000;5425188;72;MUSCHELKALK;Middle Triassic;agr;1
33/460-6;TB I Riexinger Tal, Oberriexingen;139.4;42;0.52;80.9;2.03;30.4;13.9;41.3;7.28;92.9;8.7;0.001;0.00003;3501460;5420640;72;MUSCHELKALK;Middle Triassic;no_agr;0
33/605-7;GWM 395, Testgel?nde Boxberg;74;7.1;0.84;47.2;1.4;23;3.7;2.8;7.3;21;10.5;0.0005;0;3547540;5479110;72;MUSCHELKALK;Middle Triassic;agr;1
33/623-9;GWM P 8707 Langenargen, Langenargen;123;6.3;0.48;67;1;23.5;3.6;29.9;7.07;17.6;8.4;0.0015;0.00005;3542310;5274115;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
33/662-0;SBR Gewand Ried, G?ppingen-Hohenstaufen;106.2;15.9;1.2;49.7;1;7.8;6.3;3.6;7.19;25.4;5.9;0.0005;0;3553560;5401360;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;agr;1
33/761-2;BR Sonnenbrauerei, Essingen;150;128;0.87;94.5;9.29;12.2;52.7;16.4;7.18;38.9;8.7;0.00025;0;3575525;5408365;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
33/771-6;Sickerleitung Fa. MILEI Leutkirch, Leutkirch im Allg?u;91;18.8;0.9;53.2;1.9;11.3;20.5;8;7.51;7.8;8;0.0008;0;3578950;5298820;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
333/163-2;GWM 130, Achern;90;15.5;0.96;49.1;4.5;12.2;14.1;14.8;6.71;28.9;13.7;0.0014;0.00002;3431759;5389235;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
338/068-9;GWM Neuer P3 WSG, Weisweil;137;61.9;1;85.8;3.08;29;16.2;70.5;6.95;69;12.1;0.0028;0.00003;3401830;5339024;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
339/068-4;GWM P1 WSG, Endingen am Kaiserstuhl;130;32.2;1.05;79.9;1.51;31.9;14.9;42.1;6.86;64.8;13.1;0.0023;0;3404210;5334760;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
34/024-0;TB 6 Weil, Weil am Rhein;52.9;11;0.3;30;1.9;6.5;9.2;6.9;7.56;20.5;6.8;0.001;0;3396230;5272023;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
34/066-0;GWM BAB 5, Rastst?tte Mahlberg;142;45.6;1.52;77.9;2;24.6;16.7;0.5;7.15;100.9;12;0.0017;0;3410285;5353310;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
34/166-4;QF 1-4 Dantersbach, Gengenbach;10.3;2.6;0.87;8.8;1.1;1.1;4.9;11.5;5.89;15.2;20.7;0.00025;0;3429090;5361470;91;KRISTALLIN (SCHWARZWALD);Crystalline Basement;no_agr;0
34/305-6;BR 2 N 17.2 NB, Dossenheim;150;26;0.37;81.2;2.22;24;14.7;45.5;7.03;75.1;11.4;0.0008;0;3475400;5479410;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
34/310-9;TB II Sperlingshof, Ersingen;129;56.1;1.1;80.8;1.3;31.1;18.2;16.7;NA;52.6;9.3;0.0008;0;3470650;5422000;83;(TIEF) BUNTSANDSTEIN;Lower Triassic;agr;1
34/372-6;QF Rosen, Schlatt am Randen;113;6.4;0.5;59.2;0.9;27.1;3.5;18;7.29;38;10.7;0.0014;0;3476710;5292715;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
34/458-8;BR Aussiedlung Kolter, Leingarten-Groˇgartach;136.8;43.4;0.63;78.9;0.62;29;5.7;69.1;6.97;46.4;13.1;0.0009;0.00006;3509360;5443830;61;GIPSKEUPER (FUˇ DES KEUPERBERGLANDES);Gipskeuper;agr;1
34/565-0;QF Sichelbronn?cker Steingebronn, Gomadingen;132;22;0.6;58.5;0.5;3.8;16.8;16.9;7.11;6.5;4.4;0.00025;0;3530120;5362840;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
34/623-4;GWM KB 8704, Langenargen;125;11.5;0.3;0;1.2;21.9;5.9;28.8;7.07;21.7;9.5;0.0009;0;3541632;5274191;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
